,Item_Weight,Item_Visibility,Item_MRP,Outlet_Establishment_Year,Outlet_Size,Outlet_Location_Type,Item_Outlet_Sales,Outlet_Type_Grocery Store,Outlet_Type_Supermarket Type1,Outlet_Type_Supermarket Type2,Outlet_Type_Supermarket Type3
0,9.3,0.016047301,4,21,1,2,3735.138,0,1,0,0
1,5.92,0.019278216,1,11,1,0,443.4228,0,0,1,0
2,17.5,0.016760075,2,21,1,2,2097.27,0,1,0,0
3,19.2,0.0,3,22,0,0,732.38,1,0,0,0
4,8.93,0.0,1,33,2,0,994.7052,0,1,0,0
5,10.395,0.0,1,11,1,0,556.6088,0,0,1,0
6,13.65,0.012741089,1,33,2,0,343.5528,0,1,0,0
7,19.0,0.127469857,2,35,1,0,4022.7636,0,0,0,1
8,16.2,0.016687114,2,18,0,1,1076.5986,0,1,0,0
9,19.2,0.09444959,4,13,0,1,4710.535,0,1,0,0
10,11.8,0.0,1,21,1,2,1516.0266,0,1,0,0
11,18.5,0.045463773,3,23,0,2,2187.153,0,1,0,0
12,15.1,0.1000135,3,21,1,2,1589.2646,0,1,0,0
13,17.6,0.047257328,2,23,0,2,2145.2076,0,1,0,0
14,16.35,0.0680243,4,33,2,0,1977.426,0,1,0,0
15,9.0,0.069088961,1,23,0,2,1547.3192,0,1,0,0
16,11.8,0.008596051,2,11,1,0,1621.8888,0,0,1,0
17,9.0,0.069196376,1,21,1,2,718.3982,0,1,0,0
18,8.26,0.034237682,2,35,1,0,2303.668,0,0,0,1
19,13.35,0.10249212,4,16,0,1,2748.4224,0,1,0,0
20,18.85,0.138190277,4,33,2,0,3775.086,0,1,0,0
21,8.315,0.035399923,3,35,1,0,4064.0432,0,0,0,1
22,14.6,0.025698134,4,16,0,1,1587.2672,0,1,0,0
23,15.5,0.057556998,2,35,0,2,214.3876,1,0,0,0
24,13.85,0.025896485,3,23,0,2,4078.025,0,1,0,0
25,13.0,0.099887103,1,13,0,1,838.908,0,1,0,0
26,7.645,0.066693437,1,16,0,1,1065.28,0,1,0,0
27,11.65,0.019356132,1,33,2,0,308.9312,0,1,0,0
28,5.925,0.161466534,1,22,0,0,178.4344,1,0,0,0
29,14.5,0.072221801,1,35,0,2,125.8362,1,0,0,0
30,19.25,0.170348551,1,22,0,0,163.7868,1,0,0,0
31,18.6,0.080829372,2,11,1,0,2741.7644,0,0,1,0
32,18.7,0.0,4,11,1,0,3068.0064,0,0,1,0
33,17.85,0.0,1,18,0,1,2174.5028,0,1,0,0
34,17.5,0.097904029,3,23,0,2,2085.2856,0,1,0,0
35,10.0,0.089291137,3,21,1,2,3791.0652,0,1,0,0
36,20.2,0.059511812,2,35,1,0,2797.6916,0,0,0,1
37,8.85,0.113123893,2,11,1,0,1609.9044,0,0,1,0
38,6.385,0.123111453,1,35,1,0,388.1614,0,0,0,1
39,15.25,0.026480954,1,35,1,0,2180.495,0,0,0,1
40,13.35,0.102511504,4,23,0,2,3435.528,0,1,0,0
41,9.8,0.02681843,2,33,2,0,2150.534,0,1,0,0
42,13.6,0.117818348,4,21,1,2,2527.3768,0,1,0,0
43,21.35,0.069102831,4,11,1,0,6768.5228,0,0,1,0
44,12.15,0.042277867,2,33,2,0,373.5138,0,1,0,0
45,6.42,0.089498926,3,22,0,0,358.2004,1,0,0,0
46,19.6,0.0,3,18,0,1,2428.8384,0,1,0,0
47,10.0,0.025879577,4,18,0,1,5815.0972,0,1,0,0
48,15.85,0.121632721,1,23,0,2,2576.646,0,1,0,0
49,10.195,0.255394896,4,35,0,2,780.3176,1,0,0,0
50,7.39,0.067779712,3,23,0,2,3134.5864,0,1,0,0
51,10.195,0.159803853,2,33,2,0,850.8924,0,1,0,0
52,9.895,0.028696932,2,33,2,0,810.9444,0,1,0,0
53,10.895,0.065041581,4,13,0,1,3121.2704,0,1,0,0
54,12.15,0.028760013,3,13,0,1,4815.0656,0,1,0,0
55,7.905,0.010053105,4,11,1,0,6258.52,0,0,1,0
56,9.195,0.048157338,2,18,0,1,2117.244,0,1,0,0
57,8.365,0.071958197,1,21,1,2,796.9626,0,1,0,0
58,15.1,0.173481304,4,23,0,2,4910.275,0,1,0,0
59,5.94,0.061082177,3,35,0,2,892.172,1,0,0,0
60,10.0,0.0,4,11,1,0,3185.1872,0,0,1,0
61,7.97,0.040071131,1,18,0,1,1062.6168,0,1,0,0
62,6.215,0.012090074,1,35,1,0,484.7024,0,0,0,1
63,15.5,0.15028599,1,35,0,2,147.8076,1,0,0,0
64,17.5,0.026015519,4,35,1,0,2543.356,0,0,0,1
65,17.7,0.195068226,3,22,0,0,184.4266,1,0,0,0
66,19.35,0.033082215,3,16,0,1,4865.6664,0,1,0,0
67,13.65,0.078946455,4,18,0,1,1118.544,0,1,0,0
68,17.6,0.041700756,3,18,0,1,2302.3364,0,1,0,0
69,8.645,0.143422643,2,23,0,2,2027.361,0,1,0,0
70,15.6,0.105296072,3,23,0,2,3435.528,0,1,0,0
71,15.85,0.121531501,1,33,2,0,599.22,0,1,0,0
72,18.25,0.0,3,18,0,1,4604.6728,0,1,0,0
73,7.855,0.011324862,4,13,0,1,2285.0256,0,1,0,0
74,7.825,0.186357148,4,21,1,2,5580.7356,0,1,0,0
75,8.39,0.024205661,2,23,0,2,2290.352,0,1,0,0
76,12.85,0.033230816,3,21,1,2,1207.0954,0,1,0,0
77,13.35,0.113720344,1,35,0,2,643.1628,1,0,0,0
78,19.0,0.112556507,2,13,0,1,1587.933,0,1,0,0
79,5.905,0.0,4,18,0,1,5305.0944,0,1,0,0
80,7.76,0.059352241,2,23,0,2,1697.79,0,1,0,0
